key,bin,v_ego,model,read,y_none,x_none,d_left,d_right,set
266812-0007808,5-10,8.637289105221935,cinque,5,-0.037359619140625,4.593125,0.227130126953124,-0.023470458984374002,carla_p6
266812-0007808,5-10,8.637289105221935,lebowski,0,-0.1261669921875,13.470625,1.237338867187499,-0.7630517578125,carla_p6
266812-0007808,5-10,8.637289105221935,lebowski,1,-0.1437890625,10.73375,0.9643554687499999,-0.6091015625,carla_p6
266812-0007808,5-10,8.637289105221935,lebowski,5,0.020790405273437,3.115546875,0.8310260009765621,-0.08261413574218701,carla_p6
2586512-0002738,5-10,8.13762014466238,cinque,0,0.273046875,7.37859375,1.558203125,-0.44844726562500004,carla_p6
2586512-0002738,5-10,8.13762014466238,cinque,1,0.004864044189453001,3.9146875,0.607108612060546,-0.267647247314453,carla_p6
2586512-0002738,5-10,8.13762014466238,cinque,5,-0.014552612304687,5.815625,0.22164733886718702,-0.6907403564453121,carla_p6
2586512-0002738,5-10,8.13762014466238,lebowski,0,0.21427734375,4.6878125,1.11998046875,-0.642138671875,carla_p6
2586512-0002738,5-10,8.13762014466238,lebowski,1,-0.003152389526367,2.795234375,0.30154106140136705,-0.270919876098632,carla_p6
2586512-0002738,5-10,8.13762014466238,lebowski,5,0.008426208496093001,7.16921875,1.279894104003906,-0.27100433349609304,carla_p6
2538111-0002041,5-10,7.691340847846063,cinque,0,-8.58125,15.7475,1.474531250000001,-0.145937499999998,carla_p6
2538111-0002041,5-10,7.691340847846063,cinque,1,-8.8846875,13.5221875,1.071562499999999,0.068125,carla_p6
2538111-0002041,5-10,7.691340847846063,cinque,5,-0.20759765624999998,22.715,0.17134033203125001,-0.9368554687499999,carla_p6
2538111-0002041,5-10,7.691340847846063,lebowski,0,-2.717890625,17.949375,0.8478906249999991,-0.9010156250000001,carla_p6
2538111-0002041,5-10,7.691340847846063,lebowski,1,-6.9907812499999995,13.5915625,1.8134374999999991,-0.10812500000000001,carla_p6
2538111-0002041,5-10,7.691340847846063,lebowski,5,-0.29721679687499997,38.37125,1.154150390625,-1.012978515625,carla_p6
